Depth,Block Position,ROP,WOB,Hook Load,RPM,Torque,SPP,SPM,PVT,Flow Out,Time,Phase,Kick_Status,Note,Note_Param,Zone_Line
2029,10.42000008,38.84999847,,,79,,14809,,309.76,2152,10:00:00 AM,NORMAL,NO KICK,,,
2029.2,10.38666675,38.84999847,,,79,,14809,,309.64,2152,10:00:10 AM,NORMAL,NO KICK,,,
2029.4,10.32000008,38.84999847,,,79,,14809,,309.52,2152,10:00:20 AM,NORMAL,NO KICK,,,
2029.6,10.25333341,39.70999908,,,79,,14928,,309.4,2152,10:00:30 AM,NORMAL,NO KICK,,,
2029.8,10.15333341,39.70999908,,,79,,14928,,309.28,2152,10:00:40 AM,NORMAL,NO KICK,,,
2030,10.08666675,39.70999908,,,79,,14928,,309.16,2152,10:00:50 AM,NORMAL,NO KICK,,,
2030.2,10.02000008,39.61000061,,,79,,14719,,309.04,2153,10:01:00 AM,NORMAL,NO KICK,,,
2030.4,9.92000008,39.61000061,,,79,,14719,,308.92,2153,10:01:10 AM,NORMAL,NO KICK,,,
2030.6,9.853333413,39.61000061,,,79,,14719,,308.8,2153,10:01:20 AM,NORMAL,NO KICK,,,
2030.8,9.753333413,39.22999954,,,80,,14689,,308.68,2153,10:01:30 AM,NORMAL,NO KICK,,,
2031,9.653333413,39.22999954,,,80,,14689,,308.56,2153,10:01:40 AM,NORMAL,NO KICK,,,
2031.2,9.62000008,39.22999954,,,80,,14689,,308.44,2153,10:01:50 AM,NORMAL,NO KICK,,,
2031.4,9.586666747,41.40999985,,,79,,15345,,308.32,2153,10:02:00 AM,NORMAL,NO KICK,,,
2031.6,9.553333413,41.40999985,,,79,,15345,,308.2,2153,10:02:10 AM,NORMAL,NO KICK,,,
2031.8,9.52000008,41.40999985,,,79,,15345,,308.08,2153,10:02:20 AM,NORMAL,NO KICK,,,
2032,9.42000008,42.72999954,,,79,,15107,,307.96,2153,10:02:30 AM,NORMAL,NO KICK,,,
2032.2,9.353333413,42.72999954,,,79,,15107,,307.84,2153,10:02:40 AM,NORMAL,NO KICK,,,
2032.4,9.32000008,42.72999954,,,79,,15107,,307.72,2153,10:02:50 AM,NORMAL,NO KICK,,,
2032.6,9.286666747,42.77999878,,,79,,14660,,307.6,2153,10:03:00 AM,NORMAL,NO KICK,,,
2032.8,9.253333413,42.77999878,,,79,,14660,,307.48,2153,10:03:10 AM,NORMAL,NO KICK,,,
2033,9.153333413,42.77999878,,,79,,14660,,307.36,2153,10:03:20 AM,NORMAL,NO KICK,,,
2033.2,9.053333413,27.17000008,,,79,,14511,,307.24,2150,10:03:30 AM,NORMAL,NO KICK,,,
2033.4,9.02000008,27.17000008,,,79,,14511,,307.12,2150,10:03:40 AM,NORMAL,NO KICK,,,
2033.6,8.953333413,27.17000008,,,79,,14511,,307,2153,10:03:50 AM,NORMAL,NO KICK,,,
2033.8,8.853333413,37.63999939,,,79,,14689,,306.88,2153,10:04:00 AM,NORMAL,NO KICK,,,
2034,8.82000008,37.63999939,,,79,,14689,,306.76,2153,10:04:10 AM,NORMAL,NO KICK,,,
2034.2,8.753333413,37.63999939,,,79,,14689,,306.64,2153,10:04:20 AM,NORMAL,NO KICK,,,
2034.4,8.686666747,39.27999878,,,79,,15047,,306.52,2153,10:04:30 AM,NORMAL,NO KICK,,,
2034.6,8.62000008,39.27999878,,,79,,15047,,306.4,2153,10:04:40 AM,NORMAL,NO KICK,,,
2034.8,8.553333413,39.27999878,,,79,,15047,,306.28,2153,10:04:50 AM,NORMAL,NO KICK,,,
