Depth,Block Position,ROP,WOB,Hook Load,RPM,Torque,SPP,SPM,PVT,Flow Out,Time,Phase,Kick_Status,Note,Note_Param,Zone_Line,,,,
2029,11.66,38.84999847,,,,,14809,,559.76,2525,10:00:00 AM,NORMAL,NO KICK,,,,,,6.66,11.66
2029.2,11.50571437,38.84999847,,,,,14809,,559.64,2525,10:00:10 AM,NORMAL,NO KICK,,,,,,6.505714366,11.50571437
2029.4,11.33428579,38.84999847,,,,,14809,,559.52,2525,10:00:20 AM,NORMAL,NO KICK,,,,,,6.334285794,11.33428579
2029.6,11.27714294,39.70999908,,,,,14928,,559.4,2525,10:00:30 AM,NORMAL,NO KICK,,,,,,6.277142937,11.27714294
2029.8,11.16285722,39.70999908,,,,,14928,,559.28,2525,10:00:40 AM,NORMAL,NO KICK,,,,,,6.162857223,11.16285722
2030,10.99142865,39.70999908,,,,,14928,,559.16,2525,10:00:50 AM,NORMAL,NO KICK,,,,,,5.991428651,10.99142865
2030.2,10.87714294,39.61000061,,,,,14719,,559.04,2525,10:01:00 AM,NORMAL,NO KICK,,,,,,5.877142937,10.87714294
2030.4,10.61907842,39.61000061,,,,,14719,,558.92,2525,10:01:10 AM,NORMAL,NO KICK,,,,,,5.619078421,10.61907842
2030.6,10.36101391,39.61000061,,,,,14719,,558.8,2525,10:01:20 AM,NORMAL,NO KICK,,,,,,5.361013905,10.36101391
2030.8,10.10294939,39.22999954,,,,,14689,,558.68,2525,10:01:30 AM,NORMAL,NO KICK,,,,,,5.102949389,10.10294939
2031,9.844884873,39.22999954,,,,,14689,,558.56,2525,10:01:40 AM,NORMAL,NO KICK,,,,,,4.844884873,9.844884873
2031.2,9.758863367,39.22999954,,,,,14689,,558.44,2525,10:01:50 AM,NORMAL,NO KICK,,,,,,4.758863367,9.758863367
2031.4,9.672841862,41.40999985,,,,,15345,,558.32,2525,10:02:00 AM,NORMAL,NO KICK,,,,,,4.672841862,9.672841862
2031.6,9.586820356,41.40999985,,,,,15345,,558.2,2525,10:02:10 AM,NORMAL,NO KICK,,,,,,4.586820356,9.586820356
2031.8,9.414777346,41.40999985,,,,,15345,,558.08,2525,10:02:20 AM,NORMAL,NO KICK,,,,,,4.414777346,9.414777346
2032,9.15671283,42.72999954,,,,,15107,,557.96,2525,10:02:30 AM,NORMAL,NO KICK,,,,,,4.15671283,9.15671283
2032.2,8.898648313,42.72999954,,,,,15107,,557.84,2525,10:02:40 AM,NORMAL,NO KICK,,,,,,3.898648313,8.898648313
2032.4,8.642238057,42.72999954,,,,,15107,,557.72,2525,10:02:50 AM,NORMAL,NO KICK,,,,,,3.642238057,8.642238057
2032.6,8.257622672,42.77999878,,,,,14660,,557.6,2525,10:03:00 AM,NORMAL,NO KICK,,,,,,3.257622672,8.257622672
2032.8,8.129417544,42.77999878,,,,,14660,,557.48,2525,10:03:10 AM,NORMAL,NO KICK,,,,,,3.129417544,8.129417544
2033,7.873007288,42.77999878,,,,,14660,,557.36,2525,10:03:20 AM,NORMAL,NO KICK,,,,,,2.873007288,7.873007288
2033.2,7.616597031,27.17000008,,,,,14511,,557.24,2525,10:03:30 AM,NORMAL,NO KICK,,,,,,2.616597031,7.616597031
2033.4,7.488391903,27.17000008,,,,,14511,,557.12,2525,10:03:40 AM,NORMAL,NO KICK,,,,,,2.488391903,7.488391903
2033.6,7.103776519,27.17000008,,,,,14511,,557,2525,10:03:50 AM,NORMAL,NO KICK,,,,,,2.103776519,7.103776519
2033.8,6.97557139,37.63999939,,,,,14689,,556.88,2525,10:04:00 AM,NORMAL,NO KICK,,,,,,1.97557139,6.97557139
