Depth,Block Position,ROP,WOB,Hook Load,RPM,Torque,SPP,SPM,PVT,Flow Out,Time,,,
2029,10.42000008,38.84999847,2,84,79,4937,14809,113,309.76,2131,10:00:00 AM,,192,4745
2029.2,10.38000011,38.84999847,2,84,79,4917,14809,113,309.64,2131,10:00:10 AM,,291,4626
2029.4,10.35999966,38.84999847,2,84,79,4981,14809,113,309.52,2136,10:00:20 AM,,204,4777
2029.6,10.34000015,39.70999908,3,83,79,5087,14928,113,309.4,2137,10:00:30 AM,,292,4795
2029.8,10.30000019,39.70999908,3,83,79,5073,14928,113,309.28,2121,10:00:40 AM,,178,4895
2030,10.27,39.70999908,3,83,79,5063,14928,113,309.16,2125,10:00:50 AM,,192,4871
2030.2,10.18,39.61000061,2.400000095,83.59999847,79,4960,14719,113,309.04,2138,10:01:00 AM,,280,4680
2030.4,10.12,39.61000061,2.400000095,83.59999847,79,5062,14719,113,308.92,2140,10:01:10 AM,,227,4835
2030.6,10.03,39.61000061,2.400000095,83.59999847,79,4976,14719,113,308.8,2140,10:01:20 AM,,193,4783
2030.8,9.95,39.22999954,2.299999952,83.69999695,80,5046,14689,113,308.68,2126,10:01:30 AM,,181,4865
2031,9.88,39.22999954,2.299999952,83.69999695,80,4945,14689,113,308.56,2136,10:01:40 AM,,156,4789
2031.2,9.8,39.22999954,2.299999952,83.69999695,80,5104,14689,113,308.44,2134,10:01:50 AM,,209,4895
2031.4,9.72,41.40999985,5.199999809,80.80000305,79,5011,15345,113,308.32,2134,10:02:00 AM,,263,4748
2031.6,9.64,41.40999985,5.199999809,80.80000305,79,4996,15345,113,308.2,2140,10:02:10 AM,,277,4719
2031.8,9.56,41.40999985,5.199999809,80.80000305,79,5016,15345,113,308.08,2129,10:02:20 AM,,207,4809
2032,9.49,42.72999954,4.699999809,81.30000305,79,4966,15107,113,307.96,2134,10:02:30 AM,,272,4694
2032.2,9.41,42.72999954,4.699999809,81.30000305,79,4991,15107,113,307.84,2127,10:02:40 AM,,196,4795
2032.4,9.26,42.72999954,4.699999809,81.30000305,79,4996,15107,113,307.72,2126,10:02:50 AM,,274,4722
2032.6,9.12,42.77999878,2.599999905,83.40000153,79,4991,14660,113,307.6,2132,10:03:00 AM,,185,4806
2032.8,9.03,42.77999878,2.599999905,83.40000153,79,5013,14660,113,307.48,2136,10:03:10 AM,,222,4791
2033,8.89,42.77999878,2.599999905,83.40000153,79,4965,14660,113,307.36,2131,10:03:20 AM,,227,4738
2033.2,8.76,27.17000008,2.599999905,83.40000153,79,4993,14511,113,307.24,2135,10:03:30 AM,,217,4776
2033.4,8.63,27.17000008,2.599999905,83.40000153,79,5060,14511,113,307.12,2121,10:03:40 AM,,243,4817
2033.6,8.5,27.17000008,2.599999905,83.40000153,79,5060,14511,113,307,2127,10:03:50 AM,,298,4762
2033.8,8.37,37.63999939,3.400000095,82.59999847,79,5061,14689,113,306.88,2133,10:04:00 AM,,256,4805
2034,8.25,37.63999939,3.400000095,82.59999847,79,5069,14689,113,306.76,2137,10:04:10 AM,,165,4904
2034.2,8.12,37.63999939,3.400000095,82.59999847,79,5052,14689,113,306.64,2127,10:04:20 AM,,275,4777
2034.4,7.99,39.27999878,4.800000191,81.19999695,79,5066,15047,113,306.52,2138,10:04:30 AM,,176,4890
2034.6,7.86,39.27999878,4.800000191,81.19999695,79,4931,15047,113,306.4,2134,10:04:40 AM,,170,4761
2034.8,7.74,39.27999878,4.800000191,81.19999695,79,5056,15047,113,306.28,2135,10:04:50 AM,,208,4848
2035,7.61,37.18999863,3.2,85.90000153,80,5098,14123,113,306.16,2124,10:05:00 AM,,278,4820
2035.2,7.48,39.22999954,2.299999952,83.69999695,80,4964,14952,113,306.04,2136,10:05:10 AM,,182,4782
2035.4,7.35,39.22999954,2.299999952,83.69999695,80,4967,15200,113,305.92,2140,10:05:20 AM,,183,4784
2035.6,7.23,39.22999954,2.299999952,83.69999695,80,5023,14952,113,305.8,2124,10:05:30 AM,,165,4858
2035.8,7.1,41.40999985,5.199999809,80.80000305,79,5062,14704,113,305.68,2143,10:05:40 AM,,238,4824
2036,6.97,41.40999985,5.199999809,80.80000305,79,5013,15200,113,305.56,2133,10:05:50 AM,,218,4795
2036.2,6.84,41.40999985,5.199999809,80.80000305,79,5032,15696,113,305.44,2137,10:06:00 AM,,227,4805
2036.4,6.71,42.72999954,4.699999809,81.30000305,79,5052,15448,113,305.32,2133,10:06:10 AM,,268,4784
2036.6,6.59,42.72999954,4.699999809,81.30000305,79,5083,16200,113,305.2,2132,10:06:20 AM,,157,4926
2036.8,6.46,42.72999954,4.699999809,81.30000305,79,5039,16200,113,305.08,2137,10:06:30 AM,,236,4803
2037,6.33,42.77999878,2.599999905,83.40000153,79,4949,15200,113,304.96,2127,10:06:40 AM,,293,4656
2037.2,6.2,42.77999878,2.599999905,83.40000153,79,5045,15200,113,304.84,2129,10:06:50 AM,,214,4831
2037.4,6.08,42.77999878,2.599999905,83.40000153,79,5086,14952,113,304.78,2138,10:07:00 AM,,238,4848
2037.6,5.95,27.17000008,2.599999905,83.40000153,79,5043,14704,113,304.72,2131,10:07:10 AM,,246,4797
