Block Position,Hook Load,PVT,Time,Note,Note_Param,Zone_Line,,,,,,Depth,ROP,WOB,RPM,Torque,SPP,SPM,Flow Out
30.17000008,18.20000076,66.72000122,1:00:00 AM,,,,,,,,,,,,0,0,70,0,
30.15999985,18.20000076,66.73999786,1:00:10 AM,,,,,,,,,,,,0,0,70,0,
30.17000008,18.20000076,66.75,1:00:20 AM,,,,,,,,,,,,0,0,70,0,
30.17000008,18.20000076,66.70999908,1:00:30 AM,,,,,,,,,,,,0,0,70,0,
30.17000008,18.20000076,66.76000214,1:00:40 AM,,,,,,,,,,,,0,0,70,0,
30.22999954,17.89999962,66.70999908,1:00:50 AM,,,,,,,,,,,,0,0,70,0,
28.67000008,17.79999924,66.69000244,1:01:00 AM,,,,,,,,,,,,0,0,70,0,
28.67000008,18,66.68000031,1:01:10 AM,,,,,,,,,,,,0,0,70,0,
25.44000053,18.20000076,66.61000061,1:01:20 AM,,,,,,,,,,,,0,0,70,0,
21.85000038,16.89999962,66.62000275,1:01:30 AM,,,,,,,,,,,,0,0,65,0,
16.34000015,18.20000076,66.70999908,1:01:40 AM,,,,,,,,,,,,0,0,65,0,
12.81999969,22.90000153,66.72000122,1:01:50 AM,,,,,,,,,,,,0,0,65,0,
8.010000229,19.10000038,66.73999786,1:02:00 AM,,,,,,,,,,,,0,0,65,0,
4.320000172,19.20000076,66.77999878,1:02:10 AM,,,,,,,,,,,,0,0,59,0,
2.319999933,17.10000038,66.75,1:02:20 AM,,,,,,,,,,,,0,0,59,0,
1.299999952,17.79999924,66.66999817,1:02:30 AM,,,,,,,,,,,,0,0,59,0,
1.850000024,35.69999695,66.69999695,1:02:40 AM,,,,,,,,,,,,0,0,59,0,
2.279999971,87,66.73000336,1:02:50 AM,,,,57,,,,,,,,0,0,59,0,
2.480000019,89.8999939,66.70999908,1:03:00 AM,,,,59.8999939,,,,,,,,0,0,59,0,
2.700000048,89.8999939,66.75,1:03:10 AM,,,,59.8999939,,,,,,,,0,0,59,0,
3.130000114,82.40000153,66.65000153,1:03:20 AM,,,,52.40000153,,,,,,,,0,0,59,0,
3.460000038,82.80000305,66.66999817,1:03:30 AM,,,,52.80000305,,,,,,,,0,0,65,0,
4.340000153,82.19999695,66.66999817,1:03:40 AM,,,,52.19999695,,,,,,,,0,0,65,0,
5.840000153,84.59999847,66.68000031,1:03:50 AM,,,,54.59999847,,,,,,,,0,0,59,0,
6.710000038,83.40000153,66.66999817,1:04:00 AM,,,,53.40000153,,,,,,,,0,0,59,0,
7.289999962,83,66.65000153,1:04:10 AM,,,,53,,,,,,,,0,0,65,0,
8.159999847,83.30000305,66.75,1:04:20 AM,,,,53.30000305,,,,,,,,0,0,65,0,
9.31000042,83.5,66.69000244,1:04:30 AM,,,,53.5,,,,,,,,0,0,65,0,
10.25,82.90000153,66.69999695,1:04:40 AM,,,,52.90000153,,,,,,,,0,0,65,0,
11.86999989,82.40000153,66.72000122,1:04:50 AM,,,,52.40000153,,,,,,,,0,0,65,0,
13.56999969,82.30000305,66.70999908,1:05:00 AM,,,,52.30000305,,,,,,,,0,0,65,0,
14.27000046,82.80000305,66.65000153,1:05:10 AM,,,,52.80000305,,,,,,,,0,0,59,0,
15.21000004,82.30000305,66.69999695,1:05:20 AM,,,,52.30000305,,,,,,,,0,0,65,0,
17.46999931,83.19999695,66.70999908,1:05:30 AM,,,,53.19999695,,,,,,,,0,0,65,0,
18.46999931,82.40000153,66.83999634,1:05:40 AM,,,,52.40000153,,,,,,,,0,0,65,0,
19.52000046,83.19999695,66.76000214,1:05:50 AM,,,,53.19999695,,,,,,,,0,0,65,0,
20.25,82.80000305,66.73999786,1:06:00 AM,,,,52.80000305,,,,,,,,0,0,65,0,
