Time of Data Collect,Kelly Position,Torque at rotary,RPM at rotary,HKLD,SPP,,PVT,SPM1,SPM2,SPM3,Trip Tank,RPM
28/3/2026 1:00,2.99000001,4745,59,115,28404,28/3/2026 1:00,60.16999817,84,0,0,3.163000107,59
28/3/2026 1:00,2.99000001,4315,59,115.0999985,28265,28/3/2026 1:00,60.15000153,84,0,0,3.278000116,59
28/3/2026 1:00,2.99000001,4669,59,115,28443,28/3/2026 1:00,60.15999985,84,0,0,3.338999987,59
28/3/2026 1:00,2.970000029,4586,59,114.9000015,28602,28/3/2026 1:00,60.15999985,84,0,0,3.365999937,59
28/3/2026 1:00,2.970000029,4680,59,115.0999985,28424,28/3/2026 1:00,60.18000031,84,0,0,3.349999905,59
28/3/2026 1:00,2.970000029,4184,59,114.9000015,28583,28/3/2026 1:00,60.25999832,84,0,0,3.309999943,59
28/3/2026 1:00,2.970000029,4527,59,114.9000015,28642,28/3/2026 1:00,60.16999817,84,0,0,3.260999918,59
28/3/2026 1:00,2.970000029,4465,59,115,28523,28/3/2026 1:00,60.18999863,84,0,0,3.230999947,59
28/3/2026 1:00,2.950000048,4092,59,114.9000015,28662,28/3/2026 1:00,60.24000168,84,0,0,3.204999924,59
28/3/2026 1:00,2.930000067,4133,59,114.9000015,28503,28/3/2026 1:00,60.11000061,84,0,0,3.187000036,59
28/3/2026 1:00,2.950000048,4166,59,114.6999969,28304,28/3/2026 1:00,60.09999847,84,0,0,3.174999952,59
28/3/2026 1:00,2.950000048,4219,59,114.6999969,28443,28/3/2026 1:00,60.11999893,84,0,0,3.167999983,59
28/3/2026 1:01,2.950000048,4315,59,114.8000031,28225,28/3/2026 1:01,60.20999908,84,0,0,3.160000086,59
28/3/2026 1:01,2.950000048,4552,59,114.6999969,28205,28/3/2026 1:01,60.20999908,84,0,0,3.154000044,59
28/3/2026 1:01,2.930000067,4004,59,114.6999969,28463,28/3/2026 1:01,60.15999985,84,0,0,3.151000023,59
28/3/2026 1:01,2.950000048,4242,59,114.6999969,28245,28/3/2026 1:01,60.11999893,84,0,0,3.148999929,59
28/3/2026 1:01,2.930000067,4224,59,114.6999969,28205,28/3/2026 1:01,60.11999893,84,0,0,3.148000002,59
28/3/2026 1:01,2.950000048,4113,59,114.8000031,28324,28/3/2026 1:01,60.15999985,84,0,0,3.145999908,59
28/3/2026 1:01,2.950000048,4174,59,114.8000031,28105,28/3/2026 1:01,60.15999985,84,0,0,3.142999887,59
28/3/2026 1:01,2.950000048,3946,59,114.6999969,28205,28/3/2026 1:01,60.15000153,84,0,0,3.14199996,59
28/3/2026 1:01,2.950000048,4069,59,114.8000031,28284,28/3/2026 1:01,60.15000153,84,0,0,3.14199996,59
28/3/2026 1:01,2.950000048,4071,59,114.8000031,28245,28/3/2026 1:01,60.15999985,84,0,0,3.14199996,59
28/3/2026 1:01,2.950000048,4212,59,114.8000031,28125,28/3/2026 1:01,60.20000076,84,0,0,3.14199996,59
28/3/2026 1:01,2.960000038,4032,59,114.9000015,28185,28/3/2026 1:01,60.24000168,84,0,0,3.14199996,59
